Date,Open,High,Low,Close,Adj Close,Volume
2019-01-09,160.139999,161.520004,159.470001,160.820007,156.230896,46491700
2019-01-10,159.600006,161.369995,158.699997,161.279999,156.677795,38943400
2019-01-11,160.330002,160.860001,159.789993,160.690002,156.104584,30176600
2019-01-14,159.330002,159.960007,158.589996,159.270004,154.725174,30710200
2019-01-15,160,162.600006,159.910004,162.380005,157.746399,40874200
2019-01-16,162.649994,163.779999,162.289993,162.350006,157.717255,33812200
2019-01-17,161.830002,164.360001,161.570007,163.630005,158.960739,39329000
2019-01-18,164.779999,166.020004,163.820007,165.25,160.534515,57183200
2019-01-22,164.059998,164.139999,160.759995,161.940002,157.318939,56711700
2019-01-23,162.770004,163.509995,160.320007,162.149994,157.522949,38106100
2019-01-24,162.679993,163.440002,162.059998,163.199997,158.542999,32417800
2019-01-25,164.509995,165.649994,163.949997,165.149994,160.437347,36515900
2019-01-28,163.020004,163.119995,161.75,163.110001,158.455536,33491200
2019-01-29,163.199997,163.240005,160.990005,161.570007,156.959503,30784200
2019-01-30,163.399994,166.279999,162.889999,165.679993,160.952209,41346500
2019-01-31,166.699997,168.990005,166.470001,168.160004,163.361435,37258400
2019-02-01,167.330002,168.600006,166.990005,167.449997,162.671722,32143700
2019-02-04,167.479996,169.529999,167.330002,169.529999,164.692337,26718800
2019-02-05,169.759995,171.229996,169.690002,171.029999,166.149551,28156400
2019-02-06,171.070007,171.369995,169.75,170.520004,165.654114,27970000
2019-02-07,169.029999,169.449997,166.949997,168.229996,163.429428,42036200
2019-02-08,166.759995,168.589996,166.570007,168.559998,163.750061,29020700
2019-02-11,169.169998,169.580002,167.979996,168.399994,163.594604,21434100
2019-02-12,169.630005,171.139999,169.330002,170.889999,166.013535,29722100
2019-02-13,171.649994,172.160004,170.820007,171.009995,166.130127,26094100
2019-02-14,170.399994,171.830002,169.830002,171.220001,166.334167,30326800
2019-02-15,172.520004,172.559998,171.139999,171.940002,167.033615,32521700
2019-02-19,171.410004,172.800003,171.380005,172.279999,167.363907,19487700
2019-02-20,172.399994,173.080002,171.320007,172.25,167.334747,32593000
2019-02-21,171.789993,172.259995,170.710007,171.619995,166.722717,25207400
2019-02-22,171.990005,173.009995,171.899994,172.889999,167.956482,27735400
2019-02-25,174.210007,174.660004,173.399994,173.520004,168.568512,32608800
2019-02-26,173.100006,174.25,172.809998,173.699997,168.743362,21939700
2019-02-27,172.899994,173.800003,171.759995,173.589996,168.636536,25162000
2019-02-28,173.050003,173.809998,172.699997,173.190002,168.247925,25085500
2019-03-01,174.440002,174.649994,173.179993,174.389999,169.413681,31431200
2019-03-04,175.539993,175.789993,172.470001,174.419998,169.44281,38063500
2019-03-05,174.550003,175.089996,173.690002,174.550003,169.569122,22319900
2019-03-06,174.720001,174.75,173.279999,173.559998,168.607361,27194600
2019-03-07,173.119995,173.179993,170.789993,171.429993,166.538116,39407400
2019-03-08,169.509995,171.259995,169.339996,171.169998,166.285583,39303200
2019-03-11,171.880005,174.850006,171.850006,174.729996,169.743988,30518400
2019-03-12,175.190002,176.139999,174.770004,175.690002,170.676575,33953500
2019-03-13,176.600006,177.929993,176.350006,177.009995,171.958908,42426100
2019-03-14,177.130005,177.339996,176.660004,176.710007,171.667496,23751500
2019-03-15,177.399994,178.880005,177.279999,178.350006,173.260712,38192000
2019-03-18,177.949997,178.990005,177.589996,178.449997,173.673325,32935100
2019-03-19,179.179993,180,178.289993,179.050003,174.257294,36893300
2019-03-20,179.059998,180.860001,178.240005,179.759995,174.948257,50105000
2019-03-21,179.220001,182.830002,179.199997,182.570007,177.68306,42428500
2019-03-22,181.779999,182.270004,178.369995,178.559998,173.780411,70794500
2019-03-25,177.910004,178.839996,176.929993,178.220001,173.449493,46336500
2019-03-26,179.600006,180.690002,178.139999,179.050003,174.257294,33248100
2019-03-27,179.320007,179.720001,176.600006,177.899994,173.138031,37096700
2019-03-28,178.360001,178.979996,177.240005,178.309998,173.537079,30368200
2019-03-29,179.690002,179.830002,178.589996,179.660004,174.850937,35205500
2019-04-01,181.509995,182.259995,180.770004,182.039993,177.167252,30969500
2019-04-02,182.240005,182.910004,181.779999,182.729996,177.838776,22645200
2019-04-03,183.759995,184.919998,183.210007,183.779999,178.860641,31633500
2019-04-04,183.830002,184.5,182.649994,183.710007,178.792557,28530800
