Date,Close
2021-03-09,125.20
2021-03-10,124.68
2021-03-11,129.93
2021-03-12,128.56
2021-03-15,131.91
2021-03-16,132.91
2021-03-17,133.41
2021-03-18,127.22
2021-03-19,128.46
2021-03-22,131.86
2021-03-23,130.71
2021-03-24,126.43
